"","ks_goog","avg_jm_goog","jm_coef_var_goog","min_jm_goog","max_jm_goog","avg_nf_goog","nf_coef_var_goog","min_nf_goog","max_nf_goog","shortlist","cc","degree","burt","wc","peer_dev_lda","peer_dev_jacc","cc_orig","contest"
"2939",0.23141682,0.3513467,0.044582225,0.10526316,0.45238096,0.19290124,1.0906732,0,0.66666669,0,0,1,0,39,28.269886,0.99959618,0,"Contest_9"
"2940",0.22624259,0.3521502,0.097352266,0,1,0.24782135,0.88137347,0,0.66666669,0,0,0,0,105,2.5169659,0.998923,NA,"Contest_9"
"2941",0.29598814,0.38583049,0.13685931,0,1,0.18495935,1.3266575,0,0.9074074,0,0,1,0,321,3.1399326,0.99754214,0,"Contest_9"
"2942",0.2245324,0.34521657,0.15487017,0,1,0.14328311,1.4547026,0,0.9074074,0,0,0,0,572,2.0709696,0.99656439,NA,"Contest_9"
"2943",0.34994307,0.42439872,0.10597742,0,1,0.19779925,1.2879878,0,0.9074074,0,0,1,0,265,4.3313427,0.99744177,0,"Contest_9"
"2944",0.11030391,0.26837993,0.13042289,0,1,0.11968811,1.8385119,0,0.9074074,0,0,1,0,207,5.7395892,0.99747396,0.030303031,"Contest_9"
"2945",0.24415195,0.34024709,0.099465869,0.050000001,1,0.14653784,1.5553236,0,0.66666669,0,0,0,0,58,16.210388,0.99929321,0.052287582,"Contest_9"
"2946",0.093171678,0.27809441,0.15568094,0,1,0.14267677,1.431633,0,0.83333331,0,0,1,0,131,NA,0.99872082,0.052287582,"Contest_9"
"2947",0.13526298,0.30135372,0.10616503,0,1,0.12835249,1.456123,0,0.66666669,0,0,1,0,62,27.030727,0.99919218,0.036363635,"Contest_9"
"2948",0.12419888,0.31423861,0.06549523,0.047619049,1,0.34479716,0.67132503,0,0.9074074,0,0,1,0,41,11.720996,0.99932694,0,"Contest_9"
"2949",0.13039072,0.30104691,0.079148732,0,1,0.18181819,1.3723292,0,0.9074074,1,0,1,0,98,2.0449018,0.99912465,0.2,"Contest_9"
"2950",0.23804623,0.37678576,0.065197162,0.12,1,0.25925925,0.92284799,0,0.7962963,0,0,0,0,47,4.3356504,0.9995625,NA,"Contest_9"
"2951",0.3625859,0.40317246,0.058467973,0.10714286,1,0.14039621,1.5787864,0,0.66666669,0,0,0,0,123,4.0027485,0.99872059,NA,"Contest_9"
"2952",0.17803118,0.33536425,0.12980971,0,1,0.18566619,1.1228127,0,0.72222221,0,0,1,0,254,16.591328,0.99734032,0,"Contest_9"
"2953",0.11596651,0.33212307,0.22673106,0,1,0.15417743,1.4094995,0,0.72222221,0,0,0,0,249,21.258726,0.99845129,0,"Contest_9"
"2954",0.2072458,0.35415047,0.13103466,0.071428575,1,0.25578704,0.86318666,0,0.66666669,0,0,1,0,55,NA,0.99932694,0.33333334,"Contest_9"
"2955",0.35221055,0.38923034,0.055309668,0.071428575,0.5777778,0.2798354,0.96174669,0,0.66666669,0,0,2,0.5,16,NA,0.99969715,0.33333334,"Contest_9"
"2956",0.091943137,0.30291477,0.088384815,0,1,0.23851852,0.8738029,0,0.66666669,0,0,0,0,71,2.0285451,0.99915856,0.33333334,"Contest_9"
"2957",0.33754906,0.44085345,0.175357,0,1,0.20585702,1.2519518,0,0.9074074,0,0,1,0,126,2.052243,0.99865365,0,"Contest_9"
"2958",0.21066354,0.25069341,0.11486864,0,1,0.15015015,1.4128616,0,0.9074074,0,0,1,0,90,29.752903,0.99868751,0,"Contest_9"
"2959",0.23443602,0.27217573,0.1580577,0.050000001,1,0.14609054,1.0297114,0,0.4074074,0,0,1,0,55,29.254389,0.99939424,0.05820106,"Contest_9"
"2960",0.25821501,0.3718082,0.082784779,0,1,0.29286695,0.87954623,0,0.83333331,1,0.16666667,10,1.0881573,117,16.4886,0.998317,0.05820106,"Contest_9"
"2961",0.10614073,0.32812583,0.14664577,0,1,0.1659808,1.4718635,0,0.9074074,0,0,0,0,179,16.530922,0.99824965,0.05820106,"Contest_9"
"2962",0.29747629,0.37793535,0.095117204,0.047619049,1,0.13618827,1.5948354,0,0.7962963,0,0,0,0,122,3.4835153,0.99868715,0.05820106,"Contest_9"
"2963",0.084815361,0.28893742,0.10228313,0,1,0.14498645,1.3228326,0,0.66666669,0,0.17857143,8,1.1023774,103,2.0492985,0.99892259,0.05820106,"Contest_9"
"2964",0.19098815,0.32125112,0.10954599,0,1,0.23888889,1.1840181,0,0.9074074,0,0.16666667,6,1.1059946,51,5.5766606,0.9993605,0.05820106,"Contest_9"
"2965",0.14303766,0.32704997,0.11653154,0,1,0.11574074,1.7140985,0,0.9074074,0,0.080952384,15,1.1737766,103,44.61385,0.99858618,0.05820106,"Contest_9"
"2966",0.18928193,0.33355018,0.058680601,0.045454547,1,0.1550926,1.3312061,0,0.7962963,0,0,2,0.5,68,20.909887,0.99895668,0.05820106,"Contest_9"
"2967",0.36888418,0.42780429,0.083896391,0.15625,1,0.17636684,1.4816039,0,0.83333331,0,0,0,0,42,2.018723,0.99932688,0.05820106,"Contest_9"
"2968",0.24502286,0.37651464,0.15922938,0,1,0.16666667,1.464645,0,0.83333331,0,0,0,0,84,3.4570279,0.99905771,NA,"Contest_9"
"2969",0.1430162,0.24430241,0.13523245,0,1,0.13714185,1.5625319,0,0.9074074,0,0,0,0,395,3.1120224,0.99683362,0.017532468,"Contest_9"
"2970",0.34818354,0.43559819,0.13489749,0.18181819,1,0.20940171,1.2770286,0,0.7962963,0,0,2,0.5,50,15.841715,0.99959618,0.017532468,"Contest_9"
"2971",0.36401546,0.40333417,0.051746506,0.050000001,0.69999999,0.2167756,1.2941625,0,0.9074074,0,0,0,0,43,36.269886,0.99952877,0.017532468,"Contest_9"
"2972",0.12356654,0.26398203,0.19611689,0,1,0.18935186,1.1704292,0,0.9074074,0,0.16176471,17,1.5911183,130,3.8451509,0.99868739,0.017532468,"Contest_9"
"2973",0.19745691,0.29153922,0.22647867,0.041666668,1,0.16574074,1.3741087,0,0.9074074,0,0.06666667,6,1.1398987,58,29.300932,0.99932694,0.017532468,"Contest_9"
"2974",0.30353689,0.40803301,0.077820301,0.093023255,1,0.1884058,1.4272097,0,0.7962963,0,0,0,0,68,5.6177282,0.99925953,0.017532468,"Contest_9"
"2975",0.22100665,0.35683671,0.04951413,0.041666668,1,0.18518518,1.3059546,0,0.7962963,0,0,0,0,102,2.0329919,0.9991585,0.017532468,"Contest_9"
"2976",0.16714801,0.30753163,0.16388749,0,1,0.18124507,1.3147197,0,0.72222221,0,0.1375,16,1.3787116,125,29.988178,0.99855256,0.017532468,"Contest_9"
"2977",0.14413051,0.27244931,0.19369464,0,1,0.089715928,2.0504067,0,0.9074074,1,0.06666667,6,1.0858458,230,2.7551539,0.99750674,0.017532468,"Contest_9"
"2978",0.099112801,0.27905187,0.18584804,0,1,0.1388889,1.3924762,0,0.66666669,0,0.16176471,17,1.8739427,180,2.7990003,0.99878806,0.017532468,"Contest_9"
"2979",0.13767608,0.32519674,0.13911109,0,1,0.16165577,1.3554803,0,0.7962963,0,0,0,0,293,1.8116441,0.99734026,0.017532468,"Contest_9"
"2980",0.37244561,0.44377765,0.081403308,0.15000001,1,0.31481481,0.94025689,0,0.9074074,0,0,0,0,30,2.2029066,0.99959618,0.017532468,"Contest_9"
"2981",0.5000127,0.51985449,0.11268443,0.18604651,1,0.18209876,1.5494344,0,0.7962963,0,0,0,0,29,4.3174539,0.99966347,0.017532468,"Contest_9"
"2982",0.44028738,0.47703633,0.096771725,0.20588236,1,0.14444445,1.5011137,0,0.66666669,0,0,4,0.75,36,43.035385,0.99952883,0.017532468,"Contest_9"
"2983",0.97581631,0.83333331,0,0.66666669,0.66666669,0.14309764,2.1514299,0,0.9074074,0,0,0,0,19,34.948967,0.99969709,0.017532468,"Contest_9"
"2984",0.30878702,0.29622659,0.19705269,0,1,0.19259259,1.2327708,0,0.66666669,0,0.15808824,17,1.4725745,38,43.035496,0.99949521,0.017532468,"Contest_9"
"2985",0.65936404,0.56655443,0.038934968,0.21621622,1,0.12592593,1.8062512,0,0.66666669,0,0.1375,16,1.3103456,70,NA,0.99952871,0.017532468,"Contest_9"
"2986",0.55414987,0.53237975,0.10042149,0.2682927,1,0.16013072,1.6894048,0,0.83333331,0,0,0,0,44,4.3112254,0.99956244,0.017532468,"Contest_9"
"2987",0.26421013,0.3580575,0.072182156,0,0.5,0.16402116,1.3357916,0,0.66666669,0,0,0,0,29,42.570099,0.9996298,0.017532468,"Contest_9"
"2988",0.98141682,0,0,0,0,0.30246913,1.4142135,0,0.9074074,0,0.1503268,18,2.0054758,12,3.559705,0.99986541,0.017532468,"Contest_9"
