"wc","winner","shortlist","peer_dev_lda","peer_dev_jacc","ks_goog","contest"
411,0,0,2.7932625,0.97821099,0.099416859,"Contest_4"
273,0,0,2.5731528,0.98451835,0.18533348,"Contest_4"
57,0,0,16.5392,0.99579513,0.2668888,"Contest_4"
231,0,0,10.857205,0.98566514,0.056759376,"Contest_4"
258,0,0,10.868078,0.98547399,0.097607732,"Contest_4"
156,0,1,6.9197693,0.98910552,0.1131826,"Contest_4"
716,0,0,5.909853,0.97152138,0.21093859,"Contest_4"
15,0,0,7.2879996,0.99885321,0.37996948,"Contest_4"
149,0,0,2.2761812,0.99178135,0.14433956,"Contest_4"
267,0,0,18.029741,0.98642969,0.26553968,"Contest_4"
506,0,0,2.1000667,0.97649086,0.057066243,"Contest_4"
121,0,0,1.6667141,0.99235475,0.20317002,"Contest_4"
119,0,0,8.1659746,0.9921636,0.15160762,"Contest_4"
181,0,0,9.2150507,0.99006116,0.10429748,"Contest_4"
251,0,0,NA,0.98547399,0.054338176,"Contest_4"
95,0,0,NA,0.99235475,0.24689466,"Contest_4"
150,0,0,1.5471638,0.99063456,0.085649438,"Contest_4"
400,0,0,2.7059739,0.97974008,0.29032072,"Contest_4"
32,0,0,16.164438,0.99808866,0.46120852,"Contest_4"
174,0,0,3.0140669,0.98987001,0.13766728,"Contest_4"
585,0,0,6.9777608,0.97572631,0.17868085,"Contest_4"
191,0,0,2.6953485,0.99044341,0.22806026,"Contest_4"
68,0,0,6.8222084,0.99598622,0.29349405,"Contest_4"
170,0,0,3.1035051,0.98872322,0.28182954,"Contest_4"
262,0,0,5.1523056,0.98337156,0.06303373,"Contest_4"
189,0,0,10.840726,0.98681194,0.12448223,"Contest_4"
266,0,0,10.87554,0.98604739,0.042906545,"Contest_4"
104,0,0,7.7719307,0.99426603,0.3762041,"Contest_4"
65,0,0,6.8167977,0.99503058,0.17201443,"Contest_4"
169,0,0,16.810131,0.99292815,0.5167169,"Contest_4"
53,0,0,16.813652,0.99579513,0.2518962,"Contest_4"
103,0,0,2.9901657,0.99445719,0.30038095,"Contest_4"
370,0,0,3.2003193,0.98298931,0.17424144,"Contest_4"
97,0,0,8.1801214,0.99350154,0.17209582,"Contest_4"
173,0,0,4.5111947,0.98967892,0.21201058,"Contest_4"
262,0,0,42.394436,0.9847095,0.14141607,"Contest_4"
238,0,0,42.348846,0.98604739,0.13846217,"Contest_4"
285,0,0,9.2260265,0.98738533,0.087439202,"Contest_4"
164,0,0,3.0102127,0.99044341,0.23176832,"Contest_4"
37,0,0,2.9122036,0.99713302,0.39959961,"Contest_4"
195,0,0,4.3732944,0.98891437,0.11175885,"Contest_4"
171,0,0,4.2062864,0.98891437,0.25256142,"Contest_4"
155,0,0,3.0158629,0.98910552,0.27720338,"Contest_4"
78,0,0,9.1287041,0.99426603,0.25189325,"Contest_4"
211,0,0,42.273834,0.98967892,0.15986566,"Contest_4"
156,0,0,6.8960652,0.99139911,0.18194078,"Contest_4"
152,0,0,2.3350618,0.9915902,0.1177641,"Contest_4"
406,0,0,42.473103,0.98241591,0.12259447,"Contest_4"
148,0,0,10.809359,0.99101681,0.09314736,"Contest_4"
165,0,0,1.355372,0.98987001,0.17736578,"Contest_4"
66,0,0,10.651214,0.99483943,0.16686761,"Contest_4"
77,0,0,2.9816391,0.99503058,0.15085681,"Contest_4"
196,0,0,3.017735,0.98814982,0.1226419,"Contest_4"
556,0,0,NA,0.97954893,0.060187742,"Contest_4"
80,0,1,9.0851774,0.99483943,0.27666086,"Contest_4"
92,0,0,9.1205654,0.99331039,0.22530612,"Contest_4"
3462,0,0,2.7151952,0.91666669,0.043765444,"Contest_4"
1999,0,0,1.6591861,0.92412078,0.088413797,"Contest_4"
157,0,0,5.8643632,0.99025232,0.16283278,"Contest_4"
201,0,0,2.6939836,0.98987001,0.14862625,"Contest_4"
175,0,0,2.000747,0.99139911,0.19343437,"Contest_4"
105,0,0,17.084515,0.99331039,0.13653228,"Contest_4"
116,0,0,8.840312,0.992737,0.1150748,"Contest_4"
89,0,0,4.2204876,0.99483943,0.50494593,"Contest_4"
103,0,0,2.999325,0.99426603,0.29559407,"Contest_4"
29,0,0,3.8125548,0.99713302,0.49506229,"Contest_4"
39,0,0,4.2521687,0.99655962,0.1384266,"Contest_4"
221,0,0,2.0647066,0.98853213,0.19612215,"Contest_4"
90,0,0,10.739246,0.99483943,0.24073951,"Contest_4"
200,0,0,3.0161991,0.98872322,0.2275681,"Contest_4"
96,0,0,16.728319,0.99350154,0.23257229,"Contest_4"
83,0,0,6.8561993,0.99464834,0.18853775,"Contest_4"
100,0,0,2.6742494,0.99503058,0.30157685,"Contest_4"
71,0,0,8.117362,0.99522173,0.28914183,"Contest_4"
582,0,0,3.7953117,0.97056574,0.075009026,"Contest_4"
220,0,0,5.2594519,0.98757643,0.17896646,"Contest_4"
86,0,0,NA,0.99426603,0.096177742,"Contest_4"
126,0,0,6.0110903,0.99235475,0.12831919,"Contest_4"
131,0,0,17.893215,0.99254584,0.11466873,"Contest_4"
126,0,0,2.6873355,0.99082571,0.24536246,"Contest_4"
105,0,0,4.3297954,0.99388379,0.45301691,"Contest_4"
455,0,0,5.5631838,0.98031348,0.14854728,"Contest_4"
195,0,0,10.858864,0.98719418,0.16044135,"Contest_4"
63,0,0,8.0713005,0.99675077,0.27191666,"Contest_4"
274,0,0,6.8397875,0.9837538,0.058858499,"Contest_4"
80,0,0,8.10396,0.99522173,0.17664787,"Contest_4"
85,0,0,5.8070436,0.99483943,0.14618777,"Contest_4"
93,0,0,3.9172075,0.99331039,0.13398805,"Contest_4"
75,0,0,41.457775,0.99617738,0.35487229,"Contest_4"
179,0,0,6.9411983,0.98642969,0.28836605,"Contest_4"
89,0,0,8.1175327,0.99445719,0.28054988,"Contest_4"
120,0,0,9.1286993,0.99407494,0.28983074,"Contest_4"
46,0,0,8.9337263,0.99675077,0.26674005,"Contest_4"
207,0,0,18.787567,0.98719418,0.14088561,"Contest_4"
87,0,0,5.8101325,0.99560398,0.46317506,"Contest_4"
138,0,0,42.020885,0.9921636,0.15059967,"Contest_4"
128,0,0,7.7208538,0.99197251,0.29113039,"Contest_4"
80,0,0,16.938589,0.99464834,0.12741527,"Contest_4"
167,0,0,5.8662457,0.98967892,0.19938289,"Contest_4"
253,0,0,5.8889904,0.98662078,0.34532684,"Contest_4"
139,0,0,17.154249,0.99044341,0.088034853,"Contest_4"
93,0,0,9.1462469,0.99350154,0.31138435,"Contest_4"
39,0,0,16.691273,0.99655962,0.17146286,"Contest_4"
37,0,0,16.547129,0.99694192,0.34637684,"Contest_4"
187,0,0,2.0613925,0.98891437,0.076920569,"Contest_4"
119,0,0,5.8581648,0.9921636,0.085589007,"Contest_4"
125,0,0,2.6836314,0.99082571,0.11746746,"Contest_4"
80,0,0,17.751564,0.99350154,0.28996304,"Contest_4"
50,0,0,10.571668,0.99636853,0.17989612,"Contest_4"
116,0,0,9.1704035,0.99178135,0.21677388,"Contest_4"
101,0,0,41.793213,0.99503058,0.26481956,"Contest_4"
170,0,0,1.660257,0.99197251,0.16084343,"Contest_4"
232,0,0,17.199198,0.98967892,0.081240043,"Contest_4"
34,0,0,16.301996,0.99694192,0.44589162,"Contest_4"
147,0,0,8.2233229,0.99139911,0.28610274,"Contest_4"
65,0,0,16.651217,0.99426603,0.26240358,"Contest_4"
105,0,0,2.6694365,0.99331039,0.19511075,"Contest_4"
146,0,0,4.3529687,0.99025232,0.23353016,"Contest_4"
110,0,0,2.6766868,0.992737,0.15424427,"Contest_4"
112,0,0,4.3348742,0.99464834,0.318836,"Contest_4"
278,0,0,5.8998275,0.9831804,0.21366389,"Contest_4"
138,0,0,2.7155082,0.99101681,0.14209841,"Contest_4"
146,0,0,2.1096857,0.99120796,0.2253855,"Contest_4"
178,0,1,5.8704472,0.98891437,0.066661395,"Contest_4"
243,0,0,2.9929953,0.9843272,0.17805271,"Contest_4"
205,0,0,17.99725,0.98891437,0.10221968,"Contest_4"
24,0,0,40.22715,0.99770641,0.39552006,"Contest_4"
61,0,0,9.0422249,0.99636853,0.21539429,"Contest_4"
276,0,0,3.0260084,0.9837538,0.067663722,"Contest_4"
67,0,0,4.1591754,0.99636853,0.13124615,"Contest_4"
283,0,0,5.5356522,0.98662078,0.1507623,"Contest_4"
48,0,0,4.264874,0.99598622,0.21434152,"Contest_4"
242,0,0,3.3525825,0.98642969,0.085034683,"Contest_4"
153,0,0,5.3599281,0.99120796,0.17308223,"Contest_4"
